name,bus0,bus1,r,x,b,s_nom,s_nom_extendable
1,Beauly,Peterhead,0.0122,0.02,0.0856,525,FALSE
2,Beauly,Errochty,0.007,0.15,0.052,132,FALSE
3,Beauly,Peterhead,0.0122,0.02,0.2844,525,FALSE
4,Beauly,Errochty,0.007,0.15,0.052,132,FALSE
5,Peterhead,Denny/Bonnybridge,0.0004,0.065,0.4454,760,FALSE
6,Peterhead,Denny/Bonnybridge,0.0004,0.065,0.5545,760,FALSE
7,Errochty,Denny/Bonnybridge,0.003,0.041,0.0044,648,FALSE
8,Errochty,Denny/Bonnybridge,0.003,0.041,0.044,648,FALSE
9,Denny/Bonnybridge,Torness,0.00211,0.0135,0.1174,1090,FALSE
10,Denny/Bonnybridge,Strathaven,0.0013,0.023,0.1496,1500,FALSE
11,Denny/Bonnybridge,Strathaven,0.0013,0.023,0.1758,1120,FALSE
12,Denny/Bonnybridge,Neilston,0.001,0.024,0.125,1000,FALSE
13,Denny/Bonnybridge,Neilston,0.001,0.024,0.125,1000,FALSE
14,Denny/Bonnybridge,Torness,0.0021,0.0135,0.1538,1090,FALSE
15,Neilston,Strathaven,0.00085,0.01051,0.38254,1390,FALSE
16,Neilston,Strathaven,0.00151,0.01613,0.59296,1390,FALSE
17,Neilston,Deeside,0,0.0001,0,2200,FALSE
18,Strathaven,Harker,0.00078,0.00852,0.0737,2100,FALSE
19,Strathaven,Harker,0.00078,0.00852,0.4635,2100,FALSE
20,Torness,Eccles,0.0004,0.0001,0.728,2180,FALSE
21,Torness,Eccles,0.0004,0.0001,1.2872,2500,FALSE
22,Torness,Strathaven,0.003,0.2,0.2939,950,FALSE
23,Torness,Strathaven,0.003,0.2,0.2939,950,FALSE
24,Eccles,Stella West,0.00083,0.0175,0.6624,3070,FALSE
25,Eccles,Stella West,0.00083,0.0175,0.6624,3070,FALSE
26,Harker,Penwortham,0.00164,0.0163,0.4868,1390,FALSE
27,Harker,Penwortham,0.00164,0.0163,0.4868,1390,FALSE
28,Harker,Stella West,0.00352,0.02453,0.1898,855,FALSE
29,Harker,Stella West,0.00492,0.0343,0.2502,775,FALSE
30,Stella West,Thornton/Drax/Eggborough,0.00053,0.00835,5.373,4840,FALSE
31,Stella West,Thornton/Drax/Eggborough,0.00052,0.0063,1.0636,4020,FALSE
32,Penwortham,Thornton/Drax/Eggborough,0.0007,0.042,0.3907,2520,FALSE
33,Penwortham,Thornton/Drax/Eggborough,0.00099,0.042,0.5738,2520,FALSE
34,Penwortham,Daines,0.0004,0.0052,0.2498,2170,FALSE
35,Penwortham,Daines,0.0004,0.0052,0.2664,2210,FALSE
36,Penwortham,Deeside,0.0001,0.0085,0.0798,3320,FALSE
37,Penwortham,Deeside,0.0001,0.0085,0.0798,3320,FALSE
38,Deeside,Daines,0.00096,0.01078,0.385,3100,FALSE
39,Deeside,Feckenham,0.00074,0.009,0.2911,2400,FALSE
40,Deeside,Feckenham,0.00097,0.009,0.3835,2400,FALSE
41,Deeside,Daines,0.00096,0.01078,0.385,3100,FALSE
42,Daines,Feckenham,0.00049,0.007,0.1943,2400,FALSE
43,Daines,Feckenham,0.00084,0.007,0.7759,2400,FALSE
44,Daines,Thornton/Drax/Eggborough,0.00137,0.023,0.6643,1240,FALSE
45,Daines,Thornton/Drax/Eggborough,0.00164,0.023,0.1104,955,FALSE
46,Daines,Th. Marsh/Stocksbridge,0.00107,0.01163,1.1745,1040,FALSE
47,Daines,Th. Marsh/Stocksbridge,0.00082,0.01201,1.2125,1040,FALSE
48,Th. Marsh/Stocksbridge,Keadby,0.0005,0.016,0.2795,2580,FALSE
49,Th. Marsh/Stocksbridge,Keadby,0.005,0.018,0.1466,625,FALSE
50,Thornton/Drax/Eggborough,Keadby,0.00033,0.0052,0.3534,2770,FALSE
51,Thornton/Drax/Eggborough,Keadby,0.00016,0.00172,0.3992,5540,FALSE
52,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00019,0.00222,0.7592,5000,FALSE
53,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00018,0.00222,0.5573,5000,FALSE
54,Keadby,Feckenham,0.00056,0.0141,0.4496,2780,FALSE
55,Keadby,Feckenham,0.00056,0.0141,0.4496,3820,FALSE
56,Ratcliffe,Keadby,0.001,0.01072,0.2651,2150,FALSE
57,Ratcliffe,Keadby,0.001,0.01072,0.4573,1890,FALSE
58,Ratcliffe,Sundon/East Claydon,0.00068,0.0097,0.4566,2100,FALSE
59,Ratcliffe,Sundon/East Claydon,0.00069,0.0097,0.4574,2100,FALSE
60,Feckenham,Ratcliffe,0.00042,0.0018,0.2349,3100,FALSE
61,Feckenham,Ratcliffe,0.00042,0.0018,0.2349,3460,FALSE
62,Feckenham,Melksham,0.00138,0.0096,0.4829,1970,FALSE
63,Feckenham,Melksham,0.00117,0.0096,0.4122,1970,FALSE
64,Bramford,Kemsley,0.00035,0.0023,0.2249,2780,FALSE
65,Bramford,Kemsley,0.00035,0.0023,0.2249,2780,FALSE
66,Bramford,Walpole,0.00178,0.0213,0.6682,1590,FALSE
67,Bramford,Walpole,0.00132,0.0143,0.3656,1590,FALSE
68,Pelham,Keadby,0.00145,0.01824,0.9169,2780,FALSE
69,Pelham,Keadby,0.00145,0.01824,0.9169,2780,FALSE
70,Pelham,London,0.00025,0.01,0.1586,2780,FALSE
71,Pelham,London,0.00025,0.01,0.1586,2780,FALSE
72,Pelham,Bramford,0.0012,0.0048,0.4446,2780,FALSE
73,Pelham,Bramford,0.0012,0.0048,0.7,2780,FALSE
74,Pelham,Walpole,0.00037,0.0059,0.294,3030,FALSE
75,Pelham,Walpole,0.00037,0.0059,0.2955,2780,FALSE
76,Sundon/East Claydon,Keadby,0.00178,0.0172,0.8403,2010,FALSE
77,Sundon/East Claydon,Keadby,0.00178,0.0172,0.627,2010,FALSE
78,Sundon/East Claydon,London,0.00037,0.0041,0.4098,3275,FALSE
79,Sundon/East Claydon,London,0.00034,0.0041,0.429,3275,FALSE
80,Sundon/East Claydon,Pelham,0.00019,0.00111,0.1232,2780,FALSE
81,Sundon/East Claydon,Pelham,0.00048,0.0061,0.3041,2780,FALSE
82,Melksham,S.W.Penisula,0.00151,0.0182,0.53,2010,FALSE
83,Melksham,Bramley,0.00086,0.0008,0.9622,2780,FALSE
84,Melksham,Bramley,0.00023,0.0007,2.8447,4400,FALSE
85,Melksham,Sundon/East Claydon,0.00055,0.003,0.3468,2780,FALSE
86,Melksham,Sundon/East Claydon,0.00039,0.003,0.2466,2770,FALSE
87,Melksham,S.W.Penisula,0.00151,0.0182,0.53,2010,FALSE
88,Bramley,Lovedean,0.00068,0.007,0.2388,2210,FALSE
89,Bramley,London,0.00104,0.0091,0.2918,1390,FALSE
90,Bramley,London,0.00104,0.0091,0.2918,1390,FALSE
91,Bramley,Lovedean,0.00068,0.007,0.2388,2210,FALSE
92,London,Kemsley,0.0002,0.0057,0.532,6960,FALSE
93,London,Kemsley,0.0002,0.0057,0.532,5540,FALSE
94,Sellindge,Kemsley,0.0002,0.00503,0.1797,3100,FALSE
95,Sellindge,Kemsley,0.0002,0.00503,0.1797,3100,FALSE
96,Lovedean,Sellindge,0.00038,0.00711,0.2998,3070,FALSE
97,Lovedean,Sellindge,0.00038,0.00711,0.2998,3070,FALSE
98,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,2780,FALSE
99,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,2780,FALSE
