name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,p_nom_extendable,p_nom_min,p_nom_max,capital_cost
Dinorwig,2932.89505,Pumped Storage Hydroelectric,0,17.40132287,0.865,0.865,51036.2537,Deeside,FALSE,,,
Ffestiniog,611.019802,Pumped Storage Hydroelectric,0,12.8510719,0.85,0.85,7852.25941,Deeside,FALSE,,,
Cruachan,746.8019802,Pumped Storage Hydroelectric,0,53.32087844,0.865,0.865,39820.1376,Errochty,FALSE,,,
Foyers,509.1831683,Pumped Storage Hydroelectric,0,69.3938056,0.865,0.865,35334.1578,Beauly,FALSE,,,
Beauly Battery,,Battery,0,1.480197172,0.95,0.95,0,Beauly,TRUE,,,580000
Peterhead Battery,,Battery,0,1.480197172,0.95,0.95,0,Peterhead,TRUE,,,580000
Errochty Battery,,Battery,0,1.480197172,0.95,0.95,0,Errochty,TRUE,,,580000
Denny/Bonnybridge Battery,,Battery,0,1.480197172,0.95,0.95,0,Denny/Bonnybridge,TRUE,,,580000
Neilston Battery,,Battery,0,1.480197172,0.95,0.95,0,Neilston,TRUE,,,580000
Strathaven Battery,,Battery,0,1.480197172,0.95,0.95,0,Strathaven,TRUE,,,580000
Torness Battery,,Battery,0,1.480197172,0.95,0.95,0,Torness,TRUE,,,580000
Eccles Battery,,Battery,0,1.480197172,0.95,0.95,0,Eccles,TRUE,,,580000
Harker Battery,,Battery,0,1.480197172,0.95,0.95,0,Harker,TRUE,,,580000
Stella West Battery,,Battery,0,1.480197172,0.95,0.95,0,Stella West,TRUE,,,580000
Penwortham Battery,,Battery,0,1.480197172,0.95,0.95,0,Penwortham,TRUE,,,580000
Deeside Battery,,Battery,0,1.480197172,0.95,0.95,0,Deeside,TRUE,,,580000
Daines Battery,,Battery,0,1.480197172,0.95,0.95,0,Daines,TRUE,,,580000
Th. Marsh/Stocksbridge Battery,,Battery,0,1.480197172,0.95,0.95,0,Th. Marsh/Stocksbridge,TRUE,,,580000
Thornton/Drax/Eggborough Battery,,Battery,0,1.480197172,0.95,0.95,0,Thornton/Drax/Eggborough,TRUE,,,580000
Keadby Battery,,Battery,0,1.480197172,0.95,0.95,0,Keadby,TRUE,,,580000
Ratcliffe Battery,,Battery,0,1.480197172,0.95,0.95,0,Ratcliffe,TRUE,,,580000
Feckenham Battery,,Battery,0,1.480197172,0.95,0.95,0,Feckenham,TRUE,,,580000
Walpole Battery,,Battery,0,1.480197172,0.95,0.95,0,Walpole,TRUE,,,580000
Bramford Battery,,Battery,0,1.480197172,0.95,0.95,0,Bramford,TRUE,,,580000
Pelham Battery,,Battery,0,1.480197172,0.95,0.95,0,Pelham,TRUE,,,580000
Sundon/East Claydon Battery,,Battery,0,1.480197172,0.95,0.95,0,Sundon/East Claydon,TRUE,,,580000
Melksham Battery,,Battery,0,1.480197172,0.95,0.95,0,Melksham,TRUE,,,580000
Bramley Battery,,Battery,0,1.480197172,0.95,0.95,0,Bramley,TRUE,,,580000
London Battery,,Battery,0,1.480197172,0.95,0.95,0,London,TRUE,,,580000
Kemsley Battery,,Battery,0,1.480197172,0.95,0.95,0,Kemsley,TRUE,,,580000
Sellindge Battery,,Battery,0,1.480197172,0.95,0.95,0,Sellindge,TRUE,,,580000
Lovedean Battery,,Battery,0,1.480197172,0.95,0.95,0,Lovedean,TRUE,,,580000
S.W.Penisula Battery,,Battery,0,1.480197172,0.95,0.95,0,S.W.Penisula,TRUE,,,580000
